epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,4874.82,1.54282,1.04138,0.00901,0.89998,0.87524,0.93738,0.66426,1.26147,0.64295,0.00849,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,4955.67,1.53366,1.04963,0.00893,0.91663,0.85898,0.93686,0.67297,1.27548,0.63332,0.00836,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5031.22,1.51814,1.05791,0.00901,0.88722,0.87314,0.93945,0.69106,1.25844,0.63861,0.00823,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5108.59,1.53884,1.06613,0.0091,0.90488,0.85809,0.93954,0.67329,1.26024,0.62244,0.00803,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5183.53,1.52371,1.03758,0.00873,0.93006,0.8536,0.94103,0.70946,1.24144,0.62244,0.00794,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5263.43,1.54045,1.04367,0.009,0.92433,0.85937,0.94441,0.70848,1.25153,0.60541,0.008,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5339.4,1.5377,1.06254,0.00902,0.89967,0.88083,0.94221,0.69111,1.24602,0.61889,0.00818,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5417.93,1.52802,1.04083,0.00877,0.89165,0.86651,0.93891,0.68946,1.243,0.59864,0.00807,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,5496.89,1.53191,1.04749,0.00894,0.89814,0.8835,0.94647,0.68758,1.25805,0.59476,0.0081,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,5572.14,1.51985,1.04011,0.00883,0.85914,0.88362,0.94522,0.68778,1.2544,0.60236,0.00805,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,5647.56,1.51728,1.03815,0.00888,0.86475,0.85947,0.94524,0.69545,1.24234,0.5994,0.00812,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
